positive,negative,brightness,loudness,speaking,whole_words,mean
0,0,0,0,0,0,1
0.061348379,0,0.001895443,0.000346317,0,0,1
0.502395561,0.004601128,0.015494835,0.002867567,0,0,1
1.504033008,0.041130513,0.046316614,0.008856046,0,0,1
2.906749838,0.143094391,0.09013649,0.018100978,0.007668547,0,1
4.367546207,0.320850757,0.138839809,0.029052178,0.062799445,0,1
5.574203569,0.555379543,0.186056946,0.03949463,0.18819584,0,1
6.221975509,0.813403245,0.230780398,0.047514738,0.366159855,0,1
6.14320168,1.060925846,0.271729135,0.052379743,0.560853082,0,1
5.430250211,1.275537383,0.305899047,0.054144666,0.740633111,0,1
4.347924243,1.461300717,0.331225402,0.052759782,0.88665351,0,1
3.21834012,1.617094054,0.347734697,0.049873157,0.992054809,0,1
2.371774416,1.696871606,0.357260225,0.047680044,1.058007176,0,1
2.029277526,1.673961406,0.360182043,0.046354056,1.089992892,0,1
2.193772404,1.567006467,0.35648484,0.044987251,1.095265586,0,1
2.708662423,1.414034769,0.347400057,0.04360047,1.081331819,0,1
3.381292244,1.249918004,0.334855741,0.042578763,1.055087184,0,1
4.052898846,1.09801797,0.322266427,0.041930088,1.02234511,0,1
4.612516192,0.970570982,0.312231827,0.04114634,0.987624939,0.007668547,1
5.009332553,0.871883607,0.305149657,0.039853834,0.954132059,0.062799445,1
5.252282677,0.801394993,0.300395451,0.037788511,0.923879257,0.18819584,1
5.411708425,0.755843919,0.296758019,0.035473288,0.8978968,0.366159855,1
5.526644523,0.730673487,0.292557159,0.033989763,0.87647951,0.560853082,1
5.513550547,0.720952887,0.287253653,0.033291448,0.859427977,0.740633111,1
5.277671208,0.724295852,0.281846533,0.033059349,0.846255463,0.88665351,1
4.803448797,0.750122636,0.277254991,0.033450621,0.836347017,0.992054809,1
4.129442717,0.805797893,0.273822405,0.034030077,0.829069387,1.050338628,1
3.328252371,0.859057949,0.271741899,0.03442481,0.823837952,1.027193447,1
2.497895217,0.843721121,0.270215833,0.034420438,0.820150407,0.907069746,1
1.722559049,0.734143131,0.267645638,0.033569801,0.817597371,0.715171964,1
1.013912842,0.572062291,0.259328809,0.030831203,0.808190219,0.494234102,1
0.394595202,0.400961952,0.244986337,0.02568367,0.751893279,0.281711999,1
-0.082765289,0.239795005,0.236630783,0.018752748,0.625725844,0.100971429,1
-0.406006544,0.117610107,0.242024484,0.011242436,0.454927202,-0.03792275,1
-0.61795203,0.086761162,0.25085333,0.004397255,0.315040518,-0.134127919,1
-0.756498232,0.168054041,0.249769189,-0.000421048,0.26045019,-0.192096092,1
-0.808322355,0.305221931,0.233346151,-0.002622933,0.292263504,-0.218786076,1
-0.727530988,0.427704916,0.214276433,-0.001295672,0.381474117,-0.221903842,1
-0.503156073,0.509206875,0.205498511,0.003003049,0.495251516,-0.208831721,1
-0.159449044,0.569037144,0.204625371,0.008973546,0.609255408,-0.185998092,1
0.253905583,0.629689628,0.204394374,0.015604398,0.709365311,-0.158555552,1
0.677679557,0.695955974,0.201525927,0.02206154,0.789240175,-0.130294107,1
1.049965385,0.761364459,0.196490306,0.02717515,0.847463788,-0.10372885,1
1.270394677,0.818012373,0.19009038,0.030656408,0.885474556,-0.080299429,1
1.288600817,0.861262637,0.179708521,0.03270751,0.906258601,-0.060620744,1
1.192379186,0.889779366,0.163824988,0.033814546,0.913505465,-0.044735253,1
1.132736485,0.899582531,0.144390953,0.034238647,0.911015389,-0.03233378,1
1.187987871,0.880291408,0.125253087,0.034183371,0.902277209,-0.022928508,1
1.316350222,0.866295186,0.111060557,0.033680422,0.890201353,-0.015975232,1
1.41603289,0.935837613,0.110407934,0.03318079,0.87699993,-0.01095049,1
1.429571833,1.111573672,0.126866542,0.032519151,0.8641899,-0.007393247,1
1.377588047,1.305559165,0.155771509,0.030963058,0.852681006,-0.004921527,1
1.315145366,1.422775074,0.189921996,0.028477653,0.842907075,-0.003233185,1
1.309887919,1.434518095,0.223423023,0.025169092,0.834965981,-0.002097934,1
1.391877651,1.362667098,0.252503146,0.021214402,0.828745072,-0.001345596,1
1.513226553,1.23877272,0.27406882,0.016803919,0.816351925,-0.000853691,1
1.539776768,1.086298579,0.280737993,0.011999529,0.757728194,-0.000536075,1
1.397082765,0.96133118,0.268939771,0.007246387,0.637478842,-0.000333382,1
