positive,negative,brightness,loudness,speaking,whole_words,mean
0,0,0,0,0,0,1
0,0,5.51E-06,2.38E-06,0,0,1
0,0,5.19E-05,3.94E-05,0,0,1
0,0,0.000198341,0.000373038,0,0,1
0,0,0.000498553,0.002018124,0,0.007668547,1
0,0,0.001112375,0.00646458,0,0.062799445,1
0,0,0.00275442,0.014711828,0,0.18819584,1
0,0,0.005847525,0.026007924,0.007668547,0.366159855,1
0,0,0.009658467,0.039400169,0.062799445,0.560853082,1
0,0,0.013560689,0.054408237,0.18819584,0.740633111,1
0,0,0.016359645,0.068763066,0.358491308,0.88665351,1
0,0,0.020668288,0.079526654,0.498053637,0.984386262,1
0,0,0.043842993,0.085711448,0.552437271,0.995207731,1
0,0,0.091372689,0.089939921,0.520493655,0.901797052,1
0,0,0.15175591,0.093628876,0.431201728,0.729105731,1
0,0,0.211660796,0.096320927,0.317374065,0.520478737,1
0,0,0.256500313,0.095870886,0.203339382,0.314454073,1
0,0,0.278722488,0.090686661,0.103210776,0.1356916,1
0,0,0.28066439,0.081601713,0.023324643,-0.004429871,1
0,0,0.269385545,0.070900651,-0.034905708,-0.103875117,1
0,0,0.250900034,0.060981878,-0.072920476,-0.166113635,1
0,0,0.229388584,0.053250537,-0.09370688,-0.197368786,1
0,0,0.208814892,0.047657189,-0.093286577,-0.204852309,1
0,0,0.192909623,0.043503655,-0.035666408,-0.195659207,1
0,0,0.184149358,0.040509178,0.098467701,-0.176089647,1
0,0,0.182921429,0.038548905,0.280838758,-0.151277921,1
0,0,0.188740216,0.037526485,0.433602356,-0.125062672,1
0.009202257,0,0.19787045,0.037134934,0.500795934,-0.100041305,1
0.081494172,0,0.20613116,0.036220549,0.480361163,-0.077746393,1
0.276074564,0,0.216333798,0.033659377,0.400843138,-0.058882138,1
0.589948498,0,0.231927187,0.029390069,0.302625101,-0.043569211,1
0.966718437,0,0.251453074,0.024381755,0.249942216,-0.031562739,1
1.350623835,0,0.269722384,0.019686719,0.279934601,-0.022425334,1
1.727995511,0.013803385,0.28090485,0.016520128,0.381505312,-0.015650878,1
2.070546824,0.114572711,0.28199412,0.015188577,0.520489691,-0.010743797,1
2.323383994,0.3513124,0.275439022,0.015332205,0.664036946,-0.007262945,1
2.456050448,0.718198839,0.26657988,0.016949704,0.790506374,-0.004840212,1
2.478041699,1.266274512,0.261157644,0.021825794,0.889501116,-0.003182922,1
2.40645781,2.001316403,0.258937528,0.028933554,0.958507101,-0.002067143,1
2.205438374,2.678161396,0.260027028,0.03463621,0.999603404,-0.001326893,1
1.884325609,3.04639637,0.26628794,0.036838574,1.017194726,-0.000842422,1
1.560085364,3.051067972,0.276655813,0.035817379,1.016618658,-0.000529337,1
1.337536766,2.782634078,0.288815294,0.032651784,1.003283477,-0.000329381,1
1.234726432,2.37075669,0.301113683,0.02845025,0.98211286,-0.00020308,1
1.177119085,1.917795475,0.31258307,0.023977169,0.957205587,-0.000124123,1
1.06100822,1.464960916,0.325386672,0.019805431,0.92400929,-7.52E-05,1
0.846884781,1.017884388,0.351127526,0.016541803,0.844861194,-4.53E-05,1
0.577157737,0.591042746,0.403854658,0.014651662,0.698215848,-2.70E-05,1
0.370101129,0.212397101,0.47365188,0.013859114,0.502332729,-1.60E-05,1
0.324288893,-0.09322477,0.53960605,0.013561254,0.300781216,-9.43E-06,1
0.456186303,-0.314476656,0.588847279,0.013650643,0.164743459,-5.52E-06,1
0.749573115,-0.453810465,0.616399369,0.014594656,0.135447553,-3.21E-06,1
1.157729444,-0.522853765,0.613467719,0.016724333,0.201574977,-1.85E-06,1
1.60485046,-0.537293915,0.577745349,0.019248153,0.325649128,-1.07E-06,1
1.981838114,-0.513162911,0.518542697,0.021100779,0.462460439,-6.10E-07,1
2.134984924,-0.464730805,0.451858223,0.021930859,0.545767375,-3.47E-07,1
2.011556835,-0.403588137,0.401338176,0.022148945,0.545792491,-1.96E-07,1
1.737413346,-0.338451407,0.380871394,0.021653369,0.514089884,-1.11E-07,1
1.481243293,-0.271527311,0.387907581,0.019793797,0.508812437,-6.20E-08,1
1.330204476,-0.175174824,0.411915694,0.01665229,0.546525122,-3.46E-08,1
1.28768379,0.019750347,0.442341505,0.013343664,0.614456767,-1.93E-08,1
1.319909102,0.337989784,0.469998913,0.010742977,0.692651677,-1.07E-08,1
1.394977583,0.735362497,0.4895975,0.00877908,0.765838704,-5.89E-09,1
1.513472365,1.131607745,0.500672586,0.006896214,0.82587545,-3.24E-09,1
1.689302154,1.407390691,0.506803357,0.004833747,0.870066708,-1.77E-09,1
1.912778661,1.478046189,0.510351421,0.002675141,0.898877006,-9.68E-10,1
2.151762243,1.350085259,0.509974409,0.000704754,0.914302735,-5.26E-10,1
2.372263829,1.091547281,0.504282476,-0.000543537,0.918960764,-2.85E-10,1
2.551548095,0.780442061,0.49321302,-0.000962165,0.915609842,-1.54E-10,1
2.681931189,0.476111829,0.478157611,-0.000797301,0.906871897,-8.31E-11,1
2.803047892,0.213451016,0.462098133,0.000170745,0.895046885,-4.47E-11,1
3.097784992,0.007737943,0.450030049,0.004370132,0.881996127,-2.39E-11,1
3.728367793,-0.138598991,0.444605025,0.015641992,0.869094459,-1.28E-11,1
4.670930496,-0.23061698,0.445247358,0.032790723,0.857246588,-6.81E-12,1
5.760777901,-0.277261002,0.45075136,0.04857501,0.846951695,-3.62E-12,1
6.813935306,-0.289006437,0.458795821,0.058550003,0.830725664,-1.92E-12,1
7.701389323,-0.276269927,0.466407369,0.062630076,0.768740451,-1.01E-12,1
8.363324779,-0.248355931,0.470436345,0.060796813,0.63802626,-5.35E-13,1
8.793170821,-0.212849382,0.468765432,0.053739767,0.456050274,-2.82E-13,1
9.012942102,-0.175393426,0.461610242,0.043212252,0.258404542,-1.48E-13,1
9.020486235,-0.139768516,0.450871388,0.031375817,0.076499662,-7.76E-14,1
8.704479886,-0.108167661,0.439739003,0.020310312,-0.071019334,-4.06E-14,1
7.974214123,-0.070827192,0.43413805,0.011158436,-0.177458247,-2.12E-14,1
6.876359901,0.063113717,0.439219767,0.004647921,-0.244117008,-1.10E-14,1
5.572899991,0.516692738,0.452857543,0.002215734,-0.276576202,-5.73E-15,1
4.209046782,1.412012069,0.466311672,0.002910401,-0.282161721,-2.97E-15,1
2.835863147,2.643624166,0.470632678,0.00588542,-0.268431894,-1.54E-15,1
1.507522183,3.958261985,0.464085774,0.011765775,-0.234650025,-7.96E-16,1
0.316554826,5.10324371,0.455095837,0.021252544,-0.146860626,-4.11E-16,1
-0.651934057,5.897031129,0.452061436,0.030956603,0.005534777,-2.12E-16,1
-1.350810222,6.199433195,0.456211676,0.036718787,0.161827985,-1.09E-16,1
-1.735172768,5.921870826,0.462459762,0.037330715,0.26135738,-5.59E-17,1
-1.687720398,5.110313001,0.466029002,0.033963914,0.289143471,-2.86E-17,1
-1.18619963,3.9517784,0.465748281,0.028520116,0.261880425,-1.47E-17,1
-0.362199839,2.67963979,0.463112524,0.022706778,0.204548711,-7.49E-18,1
0.608707274,1.484882745,0.460161583,0.017913082,0.137650494,-3.82E-18,1
1.636925385,0.483337125,0.45720512,0.016066614,0.074141758,-1.95E-18,1
2.667411201,-0.248222827,0.453448156,0.019224998,0.020738775,-9.91E-19,1
3.560466988,-0.524670936,0.44886101,0.02629495,-0.012281277,-5.04E-19,1
4.018051261,-0.129375281,0.443630992,0.036010491,0.015019517,-2.56E-19,1
3.886926632,0.814076598,0.439798555,0.045509976,0.124160456,0.007668547,1
3.273108212,1.869954118,0.438323325,0.050805068,0.287718886,0.055130898,1
2.401669591,2.698205751,0.435585473,0.050762399,0.427696391,0.125396395,1
1.489087433,3.177277909,0.428667632,0.046654177,0.4873184,0.177964015,1
0.711665167,3.242238727,0.4188741,0.040283087,0.463388362,0.194693227,1
0.16423135,2.907207869,0.41253432,0.032915333,0.38325629,0.179780029,1
-0.146199611,2.292401778,0.413754436,0.025317481,0.278566238,0.146020399,1
-0.262941812,1.557824034,0.422073954,0.018076913,0.17290663,0.105401299,1
-0.244710403,0.838796218,0.434739581,0.01180965,0.080002425,0.065952366,1
-0.157605581,0.221194982,0.449833982,0.007050369,0.006061438,0.031985716,1
-0.078947238,-0.255247668,0.470932146,0.004263554,-0.047461113,0.005272694,1
-0.053216139,-0.583747125,0.500054298,0.003278356,-0.081867093,-0.013933767,1
-0.060842773,-0.777504506,0.532894657,0.003410889,-0.099963828,-0.026244635,1
0.021065706,-0.860020728,0.558043142,0.004313964,-0.105256395,-0.032742074,1
0.294318303,-0.858528162,0.567965059,0.006145331,-0.10137613,-0.034720171,1
0.727774779,-0.799694546,0.564259028,0.00870439,-0.091668492,-0.03349288,1
1.135148586,-0.706959387,0.553036834,0.011008976,-0.078928654,-0.030252802,1
