anger,happy,fear,sad,excite,brightness,loudness,mean
0,0,0,0,0,0,0,1
0,0,0,0,0,5.51E-06,2.38E-06,1
0,0,0,0,0,5.19E-05,3.94E-05,1
0,0,0,0,0,0.000198341,0.000373038,1
0,0,0,0,0,0.000498553,0.002018124,1
0,0,0,0,0,0.001112375,0.00646458,1
0,0,0,0,0,0.00275442,0.014711828,1
0,0,0,0,0,0.005847525,0.026007924,1
0,0,0,0,0,0.009658467,0.039400169,1
0,0,0,0,0,0.013560689,0.054408237,1
0,0,0,0,0,0.016359645,0.068763066,1
0,0,0,0,0,0.020668288,0.079526654,1
0,0,0,0,0,0.043842993,0.085711448,1
0,0,0,0,0,0.091372689,0.089939921,1
0,0,0,0,0,0.15175591,0.093628876,1
0,0,0,0,0,0.211660796,0.096320927,1
0,0,0,0,0,0.256500313,0.095870886,1
0,0,0,0,0,0.278722488,0.090686661,1
0,0,0,0,0,0.28066439,0.081601713,1
0,0,0,0,0,0.269385545,0.070900651,1
0,0,0,0,0,0.250900034,0.060981878,1
0,0,0,0,0,0.229388584,0.053250537,1
0,0,0,0,0,0.208814892,0.047657189,1
0,0,0,0,0,0.192909623,0.043503655,1
0,0,0,0,0,0.184149358,0.040509178,1
0,0,0,0,0,0.182921429,0.038548905,1
0,0,0,0,0,0.188740216,0.037526485,1
0,0.009202257,0,0,0,0.19787045,0.037134934,1
0,0.075359334,0,0,0,0.20613116,0.036220549,1
0,0.216632751,0,0,0,0.216333798,0.033659377,1
0,0.367866765,0,0,0,0.231927187,0.029390069,1
0,0.490858089,0,0,0,0.251453074,0.024381755,1
0,0.664650017,0,0,0,0.269722384,0.019686719,1
0,1.021706645,0,0,0,0.28090485,0.016520128,1
0,1.481583941,0,0,0,0.28199412,0.015188577,1
0,1.847110418,0,0,0,0.275439022,0.015332205,1
0.009202257,2.011132515,0,0,0,0.26657988,0.016949704,1
0.077659898,1.983605383,0,0,0,0.261157644,0.021825794,1
0.23317202,1.827746965,0,0,0,0.258937528,0.028933554,1
0.411620522,1.600814358,0,0,0,0.260027028,0.03463621,1
0.587585157,1.350060746,0,0,0,0.26628794,0.036838574,1
0.794089514,1.181680937,0,0,0,0.276655813,0.035817379,1
1.023830477,1.189884696,0,0,0,0.288815294,0.032651784,1
1.197436161,1.375327041,0,0,0,0.301113683,0.02845025,1
1.27124098,1.643140972,0,0,0,0.31258307,0.023977169,1
1.236310831,1.801734245,0,0,0,0.325386672,0.019805431,1
1.094994208,1.730033568,0,0,0,0.351127526,0.016541803,1
0.873754719,1.459668536,0,0,0,0.403854658,0.014651662,1
0.616339639,1.147538397,0,0,0,0.47365188,0.013859114,1
0.364380447,0.930845868,0,0,0,0.53960605,0.013561254,1
